Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
113.28.178.130-64.227.132.71-2208-123-17,113.28.178.130,2208,64.227.132.71,123,17,01/02/2023 07:26:53 AM,3862692,78,2,624.0,736.0,8.0,8.0,8.0,0.0,440.0,296.0,368.0,101.82337649086284,352.08605811698163,20.710944595116565,48894.83544303797,9786.741422848669,104850.0,384.0,3862692.0,50164.831168831144,7483.012516786546,112883.0,45692.0,384.0,384.0,0.0,384.0,384.0,0,0,0,0,624,16,20.19317098023865,0.5177736148779142,8.0,440.0,16.888888888888896,57.35503465259175,3289.6,0,0,0,0,0,0,0,0,0.0,17.1,8.0,368.0,0,0,0,1360,80,352,0,7,0,9,0,0,77,8,0,0,0,0,1.675236413550227E15,0.0,1.675236413550227E15,1.675236413550227E15,NeedManualLabel
113.28.178.130-64.227.132.71-62758-389-17,113.28.178.130,62758,64.227.132.71,389,17,01/02/2023 07:27:01 AM,3832041,39,0,2613.0,0.0,67.0,67.0,67.0,0.0,0,0,0,0,681.8820571074266,10.17734413593174,100843.18421052632,4869.2942485192725,114163.0,81143.0,3832041.0,100843.18421052632,4869.2942485192725,114163.0,81143.0,0,0,0,0,0,0,0,0,0,312,0,10.17734413593174,0.0,67.0,67.0,67.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,68.71794871794872,67.0,0.0,0,0,0,2613,39,681,1,67,0,0,0,0,38,8,0,0,0,0,1.675236421572366E15,0.0,1.675236421572366E15,1.675236421572366E15,NeedManualLabel
64.227.132.71-114.220.238.87-1900-11579-17,64.227.132.71,1900,114.220.238.87,11579,17,01/02/2023 07:26:42 AM,1001266,2,0,494.0,0.0,252.0,242.0,247.0,7.0710678118654755,0,0,0,0,493.3753867603614,1.997471201458953,1001266.0,0.0,1001266.0,1001266.0,1001266.0,1001266.0,0.0,1001266.0,1001266.0,0,0,0,0,0,0,0,0,0,16,0,1.997471201458953,0.0,242.0,252.0,248.66666666666666,5.773502691896258,33.333333333333336,0,0,0,0,0,0,0,0,0.0,373.0,247.0,0.0,0,0,0,0,0,0,1,247,0,0,0,0,1,8,0,0,0,0,1.675236402162538E15,0.0,1.675236402162538E15,1.675236402162538E15,NeedManualLabel
64.227.132.71-14.136.216.157-61410-389-17,64.227.132.71,61410,14.136.216.157,389,17,01/02/2023 07:26:45 AM,140549,2,0,134.0,0.0,67.0,67.0,67.0,0.0,0,0,0,0,953.4041508655343,14.229912699485588,140549.0,0.0,140549.0,140549.0,140549.0,140549.0,0.0,140549.0,140549.0,0,0,0,0,0,0,0,0,0,16,0,14.229912699485588,0.0,67.0,67.0,67.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,100.5,67.0,0.0,0,0,0,0,0,0,1,67,0,0,0,0,1,8,0,0,0,0,1.675236405797686E15,0.0,1.675236405797686E15,1.675236405797686E15,NeedManualLabel
101.200.231.209-64.227.132.71-52495-123-17,101.200.231.209,52495,64.227.132.71,123,17,01/02/2023 07:27:20 AM,3869078,80,2,640.0,736.0,8.0,8.0,8.0,0.0,440.0,296.0,368.0,101.82337649086284,355.6402843261366,21.193679734551747,47766.3950617284,10057.429458712366,105460.0,88.0,3869078.0,48975.670886075946,6762.482188651873,106188.0,44829.0,88.0,88.0,0.0,88.0,88.0,0,0,0,0,640,16,20.67676071663585,0.5169190179158962,8.0,440.0,16.67469879518073,56.66786167806464,3211.2465471642668,0,0,0,0,0,0,0,0,0.0,16.878048780487806,8.0,368.0,0,0,0,1376,82,355,0,7,0,8,0,0,79,8,0,0,0,0,1.675236440801525E15,0.0,1.675236440801525E15,1.675236440801525E15,NeedManualLabel
59.148.166.13-64.227.132.71-9673-1900-17,59.148.166.13,9673,64.227.132.71,1900,17,01/02/2023 07:27:31 AM,3223063,2,0,180.0,0.0,90.0,90.0,90.0,0.0,0,0,0,0,55.8474966204508,0.6205277402272311,3223063.0,0.0,3223063.0,3223063.0,3223063.0,3223063.0,0.0,3223063.0,3223063.0,0,0,0,0,0,0,0,0,0,16,0,0.6205277402272311,0.0,90.0,90.0,90.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,135.0,90.0,0.0,0,0,0,0,0,0,1,90,0,0,0,0,1,8,0,0,0,0,1.675236451531136E15,0.0,1.675236451531136E15,1.675236451531136E15,NeedManualLabel
47.114.113.255-64.227.132.71-13708-1900-17,47.114.113.255,13708,64.227.132.71,1900,17,01/02/2023 07:26:43 AM,3266618,2,0,180.0,0.0,90.0,90.0,90.0,0.0,0,0,0,0,55.102861736511585,0.6122540192945732,3266618.0,0.0,3266618.0,3266618.0,3266618.0,3266618.0,0.0,3266618.0,3266618.0,0,0,0,0,0,0,0,0,0,16,0,0.6122540192945732,0.0,90.0,90.0,90.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,135.0,90.0,0.0,0,0,0,0,0,0,1,90,0,0,0,0,1,8,0,0,0,0,1.67523640329552E15,0.0,1.67523640329552E15,1.67523640329552E15,NeedManualLabel
101.201.196.61-64.227.132.71-12854-1900-17,101.201.196.61,12854,64.227.132.71,1900,17,01/02/2023 07:27:10 AM,3259562,2,0,180.0,0.0,90.0,90.0,90.0,0.0,0,0,0,0,55.22214334318537,0.6135793704798375,3259562.0,0.0,3259562.0,3259562.0,3259562.0,3259562.0,0.0,3259562.0,3259562.0,0,0,0,0,0,0,0,0,0,16,0,0.6135793704798375,0.0,90.0,90.0,90.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,135.0,90.0,0.0,0,0,0,0,0,0,1,90,0,0,0,0,1,8,0,0,0,0,1.675236430484811E15,0.0,1.675236430484811E15,1.675236430484811E15,NeedManualLabel
101.200.231.209-64.227.132.71-4073-389-17,101.200.231.209,4073,64.227.132.71,389,17,01/02/2023 07:27:28 AM,3858192,39,0,2613.0,0.0,67.0,67.0,67.0,0.0,0,0,0,0,677.2602296619764,10.108361636745917,101531.36842105261,3565.048101878227,114461.0,94062.0,3858192.0,101531.36842105261,3565.048101878227,114461.0,94062.0,0,0,0,0,0,0,0,0,0,312,0,10.108361636745917,0.0,67.0,67.0,67.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,68.71794871794872,67.0,0.0,0,0,0,2613,39,677,1,67,0,0,0,0,38,8,0,0,0,0,1.675236448812632E15,0.0,1.675236448812632E15,1.675236448812632E15,NeedManualLabel
180.101.183.12-64.227.132.71-20649-1900-17,180.101.183.12,20649,64.227.132.71,1900,17,01/02/2023 07:26:57 AM,4004250,1,3,90.0,712.0,90.0,90.0,90.0,0.0,252.0,218.0,237.33333333333334,17.473789896108208,200.28719485546608,0.9989386277080602,1334750.0,1155110.9238765773,2002295.0,943.0,0,0,0,0,0,4003307.0,2001653.5,907.2180002623405,2002295.0,2001012.0,0,0,0,0,8,24,0.24973465692701505,0.7492039707810452,90.0,252.0,178.4,81.63822634036093,6664.8,0,0,0,0,0,0,0,0,3.0,223.0,90.0,237.33333333333334,0,0,0,0,0,0,0,22,0,178,0,0,0,8,0,0,0,0,1.675236417470198E15,0.0,1.675236417470198E15,1.675236417470198E15,NeedManualLabel
